Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s)
2174.72,805.0,4.005,3.3960000000000004,4982.320000000064,5948.32,9212.38
2028.0,684.0,3.988,3.445,4472.436999999918,5408.44,8864.44
1512.0,445.7142857145519,3.906,3.563,2852.344000000506,3716.31,8180.31
1095.45,298.5454545449465,3.833,3.663,1686.851999999955,2348.35,7787.65
2040.0,715.2000000001863,3.995,3.435,4580.321000000462,5516.32,8864.32
1608.0,466.28571428544814,3.945,3.539,3154.7750000003725,4040.38,8072.38
1073.12,287.37662337720394,3.845,3.665,1618.0652857124805,2276.35,7612.99
853.31,197.0,3.745,3.731,1016.375,1592.38,7031.25
962.88,251.1999999992549,3.792,3.695,1331.3120000008494,1952.31,7256.38
972.0,265.5291098877788,3.818,3.699,1358.375,1988.38,7280.38
1475.66,381.0,3.857,3.61,2607.574999999255,3464.38,8259.91
1557.76,440.14285714272415,3.927,3.553,2984.344000001438,3860.34,8580.06
1257.44,346.4000000003725,3.886,3.631,2060.25,2852.25,7546.38
1813.44,496.0,3.928,3.527,3704.311999999918,4652.31,8594.09
944.81,252.9142857138068,3.813,3.706,1263.875,1880.38,7133.25
2259.91,914.3989999999758,4.049,3.3560000000000003,5223.359999999986,6196.35,9255.62
1440.0,401.1428571436554,3.92,3.588,2660.320000000298,3500.32,8036.32
1678.24,441.4285714281723,3.907,3.56,3284.351999999956,4184.35,8356.64
1163.11,312.3809523805976,3.866,3.648,1849.4718571454289,2564.33,7676.08
1889.5,600.8209999995306,3.979,3.483,4040.311999999918,4976.31,8648.06
1176.12,308.22857142984867,3.825,3.663,1790.3130000010133,2564.31,7513.75
1940.31,636.0319999996573,3.984,3.467,4184.313000000082,5120.31,8569.16
936.56,232.1904761902988,3.77,3.712,1196.3120000008494,1808.31,7196.56
1865.66,583.2000000001863,3.973,3.4930000000000003,3961.112999999896,4904.31,8742.69
2128.96,732.0,3.978,3.422,4789.119999999646,5732.32,9221.47
1606.06,459.8571428572759,3.943,3.544,3110.360000000336,4004.36,8019.17
1252.03,342.92479999922216,3.86,3.633,2084.280999999493,2852.28,7644.56
1284.0,352.5,3.886,3.62,2204.218999998644,2960.22,7928.22
1860.98,595.2000000001863,3.971,3.485,3946.6190000008787,4868.22,8374.91
2052.64,700.7999999998137,3.995,3.44,4592.351999999954,5552.35,9073.27
1200.0,331.3333333339542,3.873,3.64,1941.901285711676,2672.19,7532.19
2017.12,670.3999999999069,3.993,3.454,4478.406000000425,5444.41,8914.06
1228.44,332.0,3.837,3.644,1934.375,2708.38,7903.88
1670.88,488.0,3.944,3.533,3349.1440000003204,4256.34,8689.02
1531.0,447.0,3.907,3.56,2876.3129999991497,3716.31,8181.22
1596.0,457.28571428544814,3.939,3.559,3140.383999999613,4004.38,8396.38
1145.31,315.3333333339542,3.857,3.668,1787.6505714282391,2492.22,7423.33
888.0,222.85714285820725,3.769,3.71,1169.3120000008494,1736.31,7532.31
1770.84,478.0,3.919,3.537,3586.752000001259,4508.35,8470.06
1101.75,306.0,3.845,3.927,1376.359999999404,2168.36,7795.2
949.5,240.88235294073814,3.778,3.699,1281.811999997124,1880.31,7244.75
1260.0,347.0,3.886,3.625,2096.31299999915,2888.31,7568.31
1245.25,355.21899999864405,3.842,3.79,1778.343999998644,2632.0,8221.47
1345.98,370.1999999992548,3.891,3.6,2332.794428570196,3140.22,8038.24
1308.0,362.5,3.9,3.605,2250.5977142862976,3032.31,7928.31
2182.81,693.5940000000412,4.001,3.424,4901.342999999877,5874.31,9248.09
1865.0,598.3752000005917,3.971,3.48,3944.375,4868.38,8414.22
1623.25,485.5714285708964,3.928,3.533,3158.375,4040.38,8237.38
2088.0,731.2000000001863,3.994,3.422,4706.39000000013,5660.39,8972.39
1200.0,327.3333333339542,3.843,3.648,1921.4548571445048,2672.31,7856.31
1574.38,469.7142857145519,3.921,3.543,2984.375,3860.38,8178.75
1537.94,451.28571428544814,3.906,3.562,2894.405999999493,3752.41,8160.0
1078.36,294.85714285634464,3.829,3.665,1637.3120000008496,2312.31,7777.05
2100.0,745.1999999999533,4.008,3.417,4784.344000000041,5732.34,9044.34
1284.0,357.86666666530067,3.89,3.619,2186.375,2960.38,7743.44
1511.06,437.5714285708964,3.901,3.555,2792.1879999991497,3644.19,8320.88
1139.97,311.6190476194024,3.858,3.663,1803.1461428552866,2492.29,7568.29
1488.0,434.1428571436554,3.888,3.576,2786.3599999994044,3608.36,8756.36
1572.0,449.14285714272415,3.943,3.548,3026.3509999997914,3896.35,8198.05
1884.0,608.0,3.979,3.478,4046.405999999493,4976.41,8576.41
1101.38,297.19480519369245,3.815,3.668,1659.2321428563446,2348.38,7520.56
1468.25,419.3142857141792,3.885,3.5810000000000004,2630.375,3464.38,7970.47
1083.0,292.0,3.81,3.669,1623.2321428563446,2312.38,7562.31
7361.89,1140.991999999991,4.245,3.217,5495.008000000002,6740.99,10401.15
1164.0,327.77142857015133,3.857,3.659,1854.5677142851048,2564.28,7650.78
1116.0,306.80000000074506,3.851,3.658,1726.0892857145518,2420.38,7676.38
2000.28,670.0,3.989,3.449,4448.375,5408.38,9030.75
1343.04,369.3000000007452,3.891,3.6010000000000004,2324.321000000462,3140.32,7985.5
962.81,252.22857142984867,3.794,3.693,1335.75,1952.25,7200.88
1109.34,304.6285714283585,3.837,3.6010000000000004,2672.448999999091,3824.45,12392.45
1128.0,309.19999999925494,3.852,3.655,1736.313000002876,2420.31,7748.31
1594.48,464.0,3.932,3.54,3050.328000000678,3932.33,8023.94
1610.4,467.0,3.936,3.562,3134.321000000462,4004.32,8170.94
888.0,239.25,3.802,3.709,1192.375,1772.38,7280.38
1435.2,407.6999999992548,3.884,3.574,2558.320000000298,3392.32,8356.06
1133.94,313.59999999962747,3.826,3.649,1736.375,2420.38,7926.5
1256.66,343.3333333339542,3.862,3.634,2070.629714284092,2816.34,7672.56
960.0,262.7142857145518,3.818,3.694,1366.0892857145518,1952.38,7568.38
1094.46,303.0,3.815,3.664,1654.0322857163846,2312.32,8090.4
1320.0,366.0154999997467,3.904,3.603,2294.312000000849,3104.31,7856.31
1079.75,292.83116883039474,3.822,3.668,1628.3129999991504,2312.31,7486.94
1724.03,510.0,3.95,3.528,3536.313000000082,4436.31,8729.69
1326.56,365.5,3.886,3.606,2264.405999999493,3068.41,8065.41
1201.38,334.6666666660458,3.84,3.64,1931.8105714302508,2636.38,8055.68
956.06,255.62450000084942,3.808,3.81,1015.3120000008493,1757.0,8296.06
949.69,240.60504201799637,3.779,3.697,1286.311999997124,1880.31,7334.62
2073.66,712.0,4.0,3.435,4670.281000000425,5624.28,9020.41
1338.56,368.4000000003725,3.87,3.443,2288.8834285717458,3060.0,8045.56
1369.03,371.09999999962736,3.865,3.612,2348.28200000152,3176.28,8077.09
1629.72,474.0,3.938,3.5610000000000004,3188.375,4076.38,8268.91
1094.31,296.7142857145518,3.808,3.67,1623.2011428568512,2312.34,7533.31
2057.79,687.6000000000931,3.973,3.444,4558.657999999356,5480.26,9096.32
992.81,257.3571428563446,3.788,3.691,1394.375,2024.38,7440.5
1166.11,318.6666666660458,3.843,3.656,1854.676714286208,2564.39,7636.87
1868.38,588.0,3.974,3.4930000000000003,4004.313000000082,4940.31,8883.74
1625.69,480.0,3.936,3.534,3154.719999999739,4040.32,8055.58
1449.25,419.09999999962736,3.875,3.5780000000000003,2618.375,3464.38,8709.88
1912.69,620.0,3.978,3.474,4142.25,5084.25,8914.81
1524.0,392.5714285708964,3.861,3.609,2758.752000000328,3644.35,8383.39
869.19,204.5869565214961,3.749,3.729,1043.375,1628.38,7148.69
